Name of Conference,H-Index,Predicted Imapct Factor
"2014 13th Annual Mediterranean Ad Hoc Networking Workshop, MED-HOC-NET 2014",7.0,0.8527680349088147
PASC 2016 - Proceedings of the Platform for Advanced Scientific Computing Conference,2.0,0.7278821382893341
SIGIR 2014 - Proceedings of the 37th International ACM SIGIR Conference on Research and Development in Information Retrieval,24.0,1.2773800834150484
"33rd International Conference on Machine Learning, ICML 2016",7.0,0.8527680349088147
"CPSS 2015 - Proceedings of the 1st ACM Workshop on Cyber-Physical System Security, Part of ASIACCS 2015",6.0,0.8277908555849185
"ASIA CCS 2014 - Proceedings of the 9th ACM Symposium on Information, Computer and Communications Security",14.0,1.0276082901760875
"2016 Optical Fiber Communications Conference and Exhibition, OFC 2016",12.0,0.9776539315282952
"2015 International Symposium on Network Coding, NetCod 2015",4.0,0.7778364969371263
ISPASS 2014 - IEEE International Symposium on Performance Analysis of Systems and Software,11.0,0.9526767522043991
Proceedings of the International Conference on Artificial Intelligence and Law,28.0,1.377288800710633
"SIMULTECH 2014 - Proceedings of the 4th International Conference on Simulation and Modeling Methodologies, Technologies and Applications",2.0,0.7278821382893341
"Proceedings of the 2015 IEEE International Symposium on Hardware-Oriented Security and Trust, HOST 2015",7.0,0.8527680349088147
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,12.0,0.9776539315282952
IJCAI International Joint Conference on Artificial Intelligence,102.0,3.2256000706789445
"2015 IEEE Electric Ship Technologies Symposium, ESTS 2015",8.0,0.8777452142327108
"30th AAAI Conference on Artificial Intelligence, AAAI 2016",19.0,1.1524941867955678
"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH",49.0,1.901809566512451
Proceedings of the International Symposium on Mobile Ad Hoc Networking and Computing (MobiHoc),90.0,2.9258739187921914
RecSys 2014 - Proceedings of the 8th ACM Conference on Recommender Systems,17.0,1.1025398281477756
IEEE International Symposium on Information Theory - Proceedings,71.0,2.4513075116381655
ITCS 2016 - Proceedings of the 2016 ACM Conference on Innovations in Theoretical Computer Science,6.0,0.8277908555849185
ICN 2014 - Proceedings of the 1st International Conference on Information-Centric Networking,12.0,0.9776539315282952
"MobiSys 2015 - Proceedings of the 13th Annual International Conference on Mobile Systems, Applications, and Services",16.0,1.0775626488238796
"9th International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2014 - Proceedings",10.0,0.927699572880503
"Proceedings - 2015 IEEE Winter Conference on Applications of Computer Vision, WACV 2015",13.0,1.0026311108521913
